All 89 accesspoints
                             2 Pulls        10 Pulls        30 Pulls        60 Pulls       100 Pulls
   00:24:6c:d2:99:60           -89.0          -83.33          -81.33          -80.14          -79.15
   00:24:6c:d2:99:61           -80.0           -81.2          -79.17          -79.26          -78.48
   00:24:6c:d2:99:62           -79.0           -80.5          -79.37          -79.28          -78.91
   00:12:17:b0:68:cd           -62.0          -60.36          -60.26          -59.84          -59.98
   00:24:6c:d2:9a:02           -85.0           -88.4           -90.0          -89.58          -89.38
   00:24:6c:5e:c5:80           -88.0           -88.0          -85.33           -85.0          -84.29
   00:24:6c:5e:c5:81           -83.0           -85.5          -84.17          -83.41          -83.06
   00:24:6c:5e:c5:82               -          -85.75           -85.9          -84.67           -84.0
   00:24:6c:5e:c5:83          -88.33          -86.56          -85.17           -84.5          -84.17
   00:1e:52:7b:b7:02           -75.5          -75.86          -73.73          -73.39          -73.83
   00:24:6c:5c:02:31          -53.67          -54.36           -54.0          -54.48           -54.9
   00:24:6c:5e:c8:31           -93.5          -92.38           -92.3           -92.6          -92.66
   00:24:6c:d2:99:41          -87.67           -88.5           -88.8          -88.58          -88.43
   00:24:6c:5e:c8:32           -92.5          -92.75          -92.38          -92.67          -92.87
   00:24:6c:5c:02:20          -53.33          -54.36          -54.71           -55.1          -55.31
   00:24:6c:5e:c8:20           -79.5           -81.3          -80.34          -80.27          -79.98
   00:24:6c:d2:9a:01           -88.0           -88.0          -89.57          -88.94          -88.85
   00:24:6c:5c:01:b2          -83.67          -84.36          -84.23          -83.55          -82.73
   00:24:6c:5c:01:b1          -84.33           -85.0          -84.65           -83.9          -82.88
   00:24:6c:5c:01:b0          -84.33           -84.0          -84.29          -83.72          -82.65
   00:24:6c:60:cb:a2          -72.33          -71.55          -70.71           -70.8          -70.93
   00:24:6c:5e:c8:30               -               -           -91.5          -91.57          -91.57
   00:24:6c:60:cb:a0          -72.67          -72.36          -71.45          -71.28          -71.26
   00:24:6c:5e:c8:22           -79.0          -80.56          -80.32           -79.9          -80.06
   00:24:6c:5d:9e:62           -92.0           -92.0           -89.0          -89.67           -88.6
   00:24:6c:d2:99:71           -95.0           -93.0          -92.14          -92.11          -92.18
   00:24:6c:ad:6b:12               -               -               -           -89.0           -89.0
   00:24:6c:d2:99:43          -89.67           -88.0          -88.35           -88.5           -88.5
   00:24:6c:d2:9a:00               -               -           -88.2          -87.86          -88.09
   00:24:6c:ad:6b:11               -               -               -           -92.5           -92.5
   ea:70:f8:9a:40:c8               -               -           -87.0           -87.0           -87.0
   d8:c7:c8:d5:b5:02           -90.0           -90.0           -90.0           -90.0          -89.67
   00:24:6c:5c:02:21          -54.33          -54.55          -54.65          -54.92          -55.11
   00:24:6c:d2:9a:21               -               -               -           -91.0          -88.71
   00:24:6c:d2:9a:22               -           -91.0           -89.5          -89.33          -89.71
   18:64:72:fb:42:61           -68.0          -67.45           -67.9          -67.58          -67.53
   18:64:72:fb:42:60           -64.0          -66.22          -67.48          -67.11           -67.4
   18:64:72:fb:42:62          -68.67          -67.82          -68.35          -68.02          -68.09
   00:24:6c:5c:02:22           -55.0          -54.82          -55.03          -55.54          -55.76
   48:f8:b3:40:11:ba          -77.67           -77.5          -76.68          -76.43          -76.46
   00:24:6c:d2:99:72               -           -95.0           -92.0           -92.2          -92.49
   c8:d7:19:f4:9a:ad           -90.0          -89.67           -89.6           -89.5          -89.53
   00:24:6c:d2:99:70               -               -           -91.5           -91.5           -91.4
   68:7f:74:ca:6d:59          -80.33          -78.27          -76.65          -76.59          -76.04
   00:24:6c:5c:02:32           -54.0          -54.18          -54.27          -54.78          -55.18
   d8:c7:c8:d5:b5:00               -               -               -               -           -88.0
   d8:c7:c8:d5:b5:01               -               -               -          -87.67          -87.67
          Total Macs              62              66              74              81              83
Comparing 62 common mac addresses of 83 unique
              2 Pulls   10 Pulls   30 Pulls   60 Pulls  100 Pulls
2 Pulls           0.0        1.0       1.33       1.36       1.59
10 Pulls          1.0        0.0       0.33       0.36       0.59
30 Pulls         1.33       0.33        0.0       0.03       0.25
60 Pulls         1.36       0.36       0.03        0.0       0.22
100 Pulls        1.59       0.59       0.25       0.22        0.0

All 62 accesspoints
                             2 Pulls        10 Pulls        30 Pulls        60 Pulls       100 Pulls
   00:24:6c:60:cd:93           -86.0           -85.0          -84.97          -85.27          -85.52
   00:24:6c:5e:c8:43           -83.0          -82.55          -81.13          -81.84          -81.41
   00:24:6c:5e:c8:42           -81.0          -81.45           -81.2          -81.68          -81.03
   00:24:6c:5e:c8:41           -83.0          -81.73           -81.4          -81.91          -81.18
   00:24:6c:5e:c8:40           -80.5           -82.0          -80.91          -82.09          -81.81
   00:24:6c:60:cc:d2          -67.33           -68.0          -67.29          -67.33          -67.76
   00:24:6c:60:cc:d0          -67.33          -68.18          -67.29          -67.23          -67.58
   00:24:6c:60:cc:d1          -67.33          -68.09          -67.26          -67.25          -67.67
   00:24:6c:60:cd:80           -81.0          -82.43           -80.5           -80.1          -79.25
   00:24:6c:5c:01:a2           -79.0          -79.82          -80.17          -79.64          -78.96
   00:24:6c:5c:01:a0           -79.0          -80.33          -81.25           -81.0          -79.25
   00:24:6c:5c:01:a1           -76.0           -78.1          -80.42          -79.75          -78.54
   00:1a:1e:22:a7:c2           -79.0          -79.75          -79.12          -79.12          -79.97
   00:1a:1e:22:a7:c0           -79.0          -81.25          -79.83          -79.97          -80.31
   00:1a:1e:22:a7:c1           -79.0           -82.6          -80.67          -80.06          -80.62
   18:64:72:15:10:91          -52.33          -52.09          -48.97          -47.79           -47.9
   00:24:6c:5c:01:22           -84.0           -83.2          -83.67          -83.91          -83.45
   00:24:6c:d2:9a:31           -70.0          -70.64          -72.19          -72.85          -73.59
   00:24:6c:5c:01:20           -82.0           -82.6          -83.29          -83.29           -83.4
   18:64:72:15:10:81           -65.0          -61.82          -62.84          -62.67          -62.53
   18:64:72:15:10:80           -62.0          -59.09          -61.58          -61.49          -61.21
